date,px_last,px_high,px_low,px_close_1d,volume,aja
2022-02-18,70260.8671875,70260.8671875,69749.4375,70260.8671875,1633,54016.89453125
2022-02-21,69712.2421875,69712.2421875,67415.46875,69712.2421875,3959,53595.125
2022-02-22,67945.4921875,68903.2578125,67899,67945.4921875,3301,52236.828125
2022-02-23,69228.7109375,69228.7109375,69107.828125,69228.7109375,1339,53426.625
2022-02-24,68345.3359375,69740.140625,66671.578125,68345.3359375,10652,52744.8984375
2022-02-25,68531.3125,68531.3125,68531.3125,68531.3125,421,52888.42578125
2022-02-28,67127.2109375,67880.40625,67024.921875,67127.2109375,14036,51804.828125
2022-03-01,66857.546875,67127.2109375,66671.578125,66857.546875,4292,51596.70703125
2022-03-02,66848.25,66848.25,65927.6796875,66848.25,13500,51589.53515625
2022-03-03,67833.9140625,67871.109375,66950.5390625,67833.9140625,1994,52350.2109375
2022-03-04,67359.6796875,67359.6796875,67359.6796875,67359.6796875,814,51984.23828125
2022-03-07,67833.9140625,67861.8046875,66950.5390625,67833.9140625,2266,52350.2109375
2022-03-08,66950.5390625,67833.9140625,66122.953125,66950.5390625,12896,51668.48046875
2022-03-09,67778.1171875,67880.40625,66206.640625,67778.1171875,8808,52307.15234375
2022-03-10,66299.625,66299.625,66299.625,66299.625,549256760,51166.1484375
2022-03-11,66299.625,66299.625,65202.3828125,66299.625,7731,51166.1484375
2022-03-14,66857.546875,66950.5390625,66857.546875,66857.546875,22633,51596.70703125
2022-03-15,66476.3046875,66485.6015625,66476.3046875,66476.3046875,2290,51302.49609375
2022-03-16,65220.98046875,66113.65625,65220.98046875,65220.98046875,14723,50333.703125
2022-03-17,63751.7890625,65220.98046875,63463.52734375,63751.7890625,13019,49199.87109375
2022-03-18,63417.03515625,64244.6171875,63231.0625,63417.03515625,27345,48941.53515625
2022-03-21,63417.03515625,63417.03515625,63417.03515625,63417.03515625,0,48941.53515625
2022-03-22,63417.03515625,63417.03515625,63417.03515625,63417.03515625,0,48941.53515625
2022-03-23,63417.03515625,63417.03515625,63417.03515625,63417.03515625,0,48941.53515625
2022-03-24,63417.03515625,63417.03515625,63417.03515625,63417.03515625,0,48941.53515625
2022-03-25,63417.03515625,63417.03515625,63417.03515625,63417.03515625,0,48941.53515625
2022-03-28,63417.03515625,63417.03515625,63417.03515625,63417.03515625,0,48941.53515625
2022-03-29,63417.03515625,63417.03515625,63417.03515625,63417.03515625,0,48941.53515625
2022-03-30,63417.03515625,63417.03515625,63417.03515625,63417.03515625,0,48941.53515625
2022-03-31,46167.97265625,47423.296875,46074.98828125,46167.97265625,24658,35629.71484375
2022-04-01,46679.40234375,46679.40234375,46307.453125,46679.40234375,77150,36024.4140625
2022-04-04,46679.40234375,46679.40234375,46679.40234375,46679.40234375,0,36024.4140625
2022-04-05,47516.28125,49980.43359375,47144.3359375,47516.28125,70675,36670.26171875
2022-04-06,49283.03515625,49283.03515625,47330.30859375,49283.03515625,20630,38033.734375
2022-04-07,49283.03515625,49283.03515625,48464.75,49283.03515625,101850,38033.734375
2022-04-08,49283.03515625,49283.03515625,48455.44921875,49283.03515625,153854,38033.734375
2022-04-11,49840.953125,49840.953125,49366.72265625,49840.953125,5526,38464.30859375
2022-04-12,50956.796875,51142.76953125,50203.6015625,50956.796875,28837,39325.4609375
2022-04-13,48446.15234375,49292.33203125,48446.15234375,48446.15234375,2778,37387.88671875
2022-04-14,48446.15234375,48446.15234375,48446.15234375,48446.15234375,0,37387.88671875
2022-04-15,48446.15234375,48446.15234375,48446.15234375,48446.15234375,0,37387.88671875
2022-04-18,48715.8125,49422.515625,48715.8125,48715.8125,11021,37596
2022-04-19,48632.125,48641.42578125,48632.125,48632.125,2574,37531.40234375
2022-04-20,48818.09765625,50203.6015625,48632.125,48818.09765625,9573,37674.92578125
2022-04-21,48446.15234375,48641.42578125,48446.15234375,48446.15234375,4570,37387.88671875
2022-04-22,48241.58203125,48353.1640625,47813.83984375,48241.58203125,34350,37230.015625
2022-04-25,46958.36328125,47795.2421875,46958.36328125,46958.36328125,21745,36239.69921875
2022-04-26,47888.23046875,48157.890625,47060.6484375,47888.23046875,26751,36957.3203125
2022-04-27,46595.71484375,47795.2421875,46493.4296875,46595.71484375,17884,35959.8203125
2022-04-28,46930.46484375,46949.0625,46493.4296875,46930.46484375,16363,36218.1640625
2022-04-29,46930.46484375,46949.0625,46493.4296875,46930.46484375,16363,36218.1640625
2022-05-02,46865.375,46865.375,46493.4296875,46865.375,7462,36167.9375
2022-05-03,45758.83203125,46493.4296875,45563.55859375,45758.83203125,54660,35313.96875
2022-05-04,45554.26171875,46028.4921875,45154.41796875,45554.26171875,16024,35156.08984375
2022-05-05,45303.1953125,45563.55859375,45210.2109375,45303.1953125,6981,34962.3359375
2022-05-06,45303.1953125,45972.703125,45284.59765625,45303.1953125,86301,34962.3359375
2022-05-09,44633.69140625,45284.59765625,43703.8203125,44633.69140625,33122,34445.64453125
2022-05-10,45554.26171875,45554.26171875,42773.953125,45554.26171875,9077,35156.08984375
2022-05-11,45517.06640625,45517.06640625,43062.2109375,45517.06640625,5273,35127.39453125
2022-05-12,44633.69140625,46028.4921875,43834.00390625,44633.69140625,9407,34445.64453125
2022-05-13,45098.625,46400.44140625,44642.98828125,45098.625,20215,34804.46484375
2022-05-16,48250.87890625,48353.1640625,46121.48046875,48250.87890625,36560,37237.17578125
2022-05-17,48632.125,48632.125,47981.21875,48632.125,26796,37531.40234375
2022-05-18,49283.03515625,49376.01953125,48353.1640625,49283.03515625,14307,38033.734375
2022-05-19,47423.296875,49320.2265625,47246.62109375,47423.296875,25104,36598.5078125
2022-05-20,49283.03515625,49283.03515625,47888.23046875,49283.03515625,887,38033.734375
2022-05-23,48362.46484375,49273.734375,48362.46484375,48362.46484375,2070,37323.3046875
2022-05-24,47953.3203125,48818.09765625,47702.2578125,47953.3203125,17748,37007.5390625
2022-05-25,47934.72265625,48111.3984375,47934.72265625,47934.72265625,21409,36993.1953125
2022-05-26,49645.68359375,49645.68359375,48353.1640625,49645.68359375,27346,38313.61328125
2022-05-27,49747.96875,49747.96875,49469.0078125,49747.96875,6454,38392.55078125
2022-05-30,49747.96875,49747.96875,49747.96875,49747.96875,0,38392.55078125
2022-05-31,52928.1171875,52928.1171875,50026.9296875,52928.1171875,183588,40846.80859375
2022-06-01,54862.24609375,55327.1796875,52937.41796875,54862.24609375,18050,42339.44921875
2022-06-02,55308.58203125,55308.58203125,53941.67578125,55308.58203125,52709,42683.90625
2022-06-03,56721.98046875,57186.91796875,55308.58203125,56721.98046875,9121,43774.6796875
2022-06-06,58581.71875,59139.640625,55792.11328125,58581.71875,89682,45209.9140625
2022-06-07,58600.31640625,59688.26171875,57651.8515625,58600.31640625,25478,45224.27734375
2022-06-08,58386.4453125,58488.73046875,58107.484375,58386.4453125,11969,45059.21875
2022-06-09,57837.82421875,57847.12109375,57586.7578125,57837.82421875,9177,44635.82421875
2022-06-10,57456.578125,57744.8359375,56907.95703125,57456.578125,12289,44341.60546875
2022-06-13,57186.91796875,57186.91796875,57186.91796875,57186.91796875,17533,44133.49609375
2022-06-14,54908.73828125,57186.91796875,54053.2578125,54908.73828125,25044,42375.328125
2022-06-15,49757.265625,57186.91796875,49757.265625,49757.265625,13177,38399.73046875
2022-06-16,49757.265625,49757.265625,49757.265625,49757.265625,126,38399.73046875
2022-06-17,51272.953125,57140.421875,51272.953125,51272.953125,8536,39569.44140625
2022-06-20,51272.953125,51272.953125,51272.953125,51272.953125,0,39569.44140625
2022-06-21,52660,53500,51120,52660,26739,43468.0703125
2022-06-22,52660,53200,52000,52660,12813,43468.0703125
2022-06-23,50000,52660,50000,50000,31241,41272.3828125
2022-06-24,50000,52000,50000,50000,12423,41272.3828125
2022-06-27,50000,50000,50000,50000,0,41272.3828125
2022-06-28,50000,50000,50000,50000,0,41272.3828125
2022-06-29,50000,50000,50000,50000,0,41272.3828125
2022-06-30,46000,47860,46000,46000,26454,37970.5859375
2022-07-01,46600,47000,45990,46600,15618,38465.8515625
2022-07-04,46600,46600,46600,46600,0,38465.8515625
