date,px_last,px_high,px_low,px_close_1d,volume,aja
2022-03-07,11400,11540,11350,11400,41868,7297.6630859375
2022-03-08,11360,11640,11330,11360,79178,7272.0576171875
2022-03-09,11360,11470,11360,11360,18814,7272.0576171875
2022-03-10,11340,11340,11340,11340,579973730,7259.2548828125
2022-03-11,11340,11580,11310,11340,50983,7259.2548828125
2022-03-14,11350,11400,11340,11350,53253,7265.65576171875
2022-03-15,11400,11610,11400,11400,88582,7297.6630859375
2022-03-16,11640,11640,11400,11640,76214,7451.298828125
2022-03-17,11650,11890,11600,11650,162337,7457.7001953125
2022-03-18,11020,11630,10960,11020,128682,7820.08251953125
2022-03-21,11020,11020,11020,11020,0,7820.08251953125
2022-03-22,10850,11200,10850,10850,34224,7699.4453125
2022-03-23,10900,10900,10760,10900,6117,7734.92724609375
2022-03-24,10870,10870,10710,10870,17613,7713.638671875
2022-03-25,10670,10850,10670,10670,23038,7571.71337890625
2022-03-28,10640,10670,10520,10640,16194,7550.423828125
2022-03-29,10600,10600,10500,10600,33400,7522.03857421875
2022-03-30,10600,10600,10500,10600,33400,7522.03857421875
2022-03-31,10450,10500,10450,10450,10398,7415.5947265625
2022-04-01,10400,10400,10380,10400,10795,7380.1142578125
2022-04-04,10400,10400,10400,10400,0,7380.1142578125
2022-04-05,10340,10340,9990,10340,39546,7337.5361328125
2022-04-06,10100,10380,10100,10100,22433,7167.2255859375
2022-04-07,10000,10090,10000,10000,41612,7096.26318359375
2022-04-08,9960,10110,9960,9960,9398,7067.8779296875
2022-04-11,9880,10000,9880,9880,14193,7011.1083984375
2022-04-12,9600,10000,9600,9600,6615,6812.41259765625
2022-04-13,9650,10190,9650,9650,5598,6847.8935546875
2022-04-14,9650,9650,9650,9650,0,6847.8935546875
2022-04-15,9650,9650,9650,9650,0,6847.8935546875
2022-04-18,9760,9800,9760,9760,7060,6925.953125
2022-04-19,9750,9780,9750,9750,9120,6918.8564453125
2022-04-20,9750,9750,9750,9750,4750,6918.8564453125
2022-04-21,9700,9780,9450,9700,10181,6883.37548828125
2022-04-22,9715,9715,9715,9715,45529,6894.01953125
2022-04-25,9695,9695,9695,9695,5211,6879.8271484375
2022-04-26,9210,9550,9180,9210,24510,6535.658203125
2022-04-27,9440,9495,9400,9440,9291,6698.873046875
2022-04-28,9350,9400,9350,9350,4608,6635.00634765625
2022-04-29,9350,9400,9350,9350,4608,6635.00634765625
2022-05-02,9300,9405,9300,9300,31195,6599.5244140625
2022-05-03,9010,9200,9010,9010,56596,6393.7333984375
2022-05-04,9045,9045,8990,9045,44903,6418.56982421875
2022-05-05,8920,9175,8900,8920,12718,6329.86669921875
2022-05-06,8850,9095,8850,8850,10691,6280.19287109375
2022-05-09,8795,8800,8500,8795,33544,6241.16357421875
2022-05-10,8570,8580,8530,8570,20603,6081.49755859375
2022-05-11,8650,8700,8530,8650,14813,6138.267578125
2022-05-12,8700,8700,8650,8700,12793,6173.74951171875
2022-05-13,8850,8850,8710,8850,5248,6280.19287109375
2022-05-16,9300,9500,8890,9300,195931,6599.5244140625
2022-05-17,9160,9325,9160,9160,16358,6500.1767578125
2022-05-18,9000,9175,9000,9000,10097,6386.63671875
2022-05-19,8870,9000,8870,8870,8062,6294.38525390625
2022-05-20,8840,8850,8840,8840,12854,6273.09619140625
2022-05-23,8750,8940,8700,8750,129183,6209.22998046875
2022-05-24,8765,8765,8765,8765,4507,6219.87451171875
2022-05-25,8765,8765,8765,8765,3765,6219.87451171875
2022-05-26,8800,8900,8800,8800,6238,6244.71142578125
2022-05-27,8750,8750,8750,8750,5519,6209.22998046875
2022-05-30,8750,8750,8750,8750,0,6209.22998046875
2022-05-31,9380,9400,9100,9380,57071,6656.29541015625
2022-06-01,9000,9200,9000,9000,109729,6386.63671875
2022-06-02,9000,9100,8955,9000,40734,6386.63671875
2022-06-03,9000,9000,8970,9000,17398,6386.63671875
2022-06-06,9000,9000,9000,9000,5700,6386.63671875
2022-06-07,8910,9000,8910,8910,16223,6322.7705078125
2022-06-08,8900,9000,8900,8900,15389,6315.673828125
2022-06-09,8800,8990,8800,8800,27457,6244.71142578125
2022-06-10,8850,9000,8850,8850,41474,6280.19287109375
2022-06-13,8600,8750,8600,8600,12483,6102.78662109375
2022-06-14,8650,8650,8500,8650,51125,6138.267578125
2022-06-15,8600,8650,8600,8600,18992,6102.78662109375
2022-06-16,8600,8600,8600,8600,2338,6102.78662109375
2022-06-17,8690,8690,8600,8690,16806,6166.65234375
2022-06-20,8690,8690,8690,8690,0,6166.65234375
2022-06-21,8360,8600,8100,8360,67648,5932.47607421875
2022-06-22,8300,8400,8200,8300,41339,5889.8984375
2022-06-23,8000,8480,7980,8000,57723,5677.0107421875
2022-06-24,7890,8200,7890,7890,99482,5598.95166015625
2022-06-27,7890,7890,7890,7890,0,5598.95166015625
2022-06-28,7890,7890,7890,7890,0,5598.95166015625
2022-06-29,7890,7890,7890,7890,0,5598.95166015625
2022-06-30,8000,8000,7800,8000,17277,5677.0107421875
2022-07-01,7900,8000,7900,7900,9637,5606.0478515625
2022-07-04,7900,7900,7900,7900,0,5606.0478515625
2022-07-05,7900,8010,7900,7900,21204,5606.0478515625
2022-07-06,7900,8010,7900,7900,21204,5606.0478515625
2022-07-07,8500,8500,8250,8500,9891,6031.82373046875
2022-07-08,8600,8640,8400,8600,21519,6102.78662109375
2022-07-11,8520,8620,8500,8520,12899,6046.0166015625
2022-07-12,8455,8500,8010,8455,15125,5999.89013671875
2022-07-13,8250,8250,8250,8250,3826,5854.4169921875
2022-07-14,8200,8250,8150,8200,28163,5818.93603515625
2022-07-15,8185,8200,8185,8185,6640,5808.29150390625
2022-07-18,8200,8250,8200,8200,4955,5818.93603515625
2022-07-19,7990,8075,7990,7990,24974,5669.91455078125
2022-07-20,7990,7990,7990,7990,0,5669.91455078125
2022-07-21,7910,7990,7910,7910,8628,5613.14453125
2022-07-22,7810,8000,7810,7810,23838,5542.181640625
2022-07-25,8095,8095,8000,8095,5764,5744.4248046875
2022-07-26,8000,8095,8000,8000,9896,5677.0107421875
2022-07-27,8000,8000,7900,8000,8881,5677.0107421875
2022-07-28,7995,8000,7995,7995,7921,5673.46240234375
2022-07-29,7900,7900,7900,7900,3596,5606.0478515625
2022-08-01,7860,7910,7860,7860,15211,5577.66259765625
2022-08-02,7900,7900,7800,7900,22771,5606.0478515625
2022-08-03,7930,7930,7925,7930,8475,5627.3369140625
2022-08-04,7900,7935,7900,7900,9951,5606.0478515625
2022-08-05,7800,7895,7800,7800,26876,5535.0849609375
2022-08-08,7950,7950,7800,7950,16300,5641.529296875
2022-08-09,7705,8000,7705,7705,60448,5467.6708984375
2022-08-10,7620,7710,7620,7620,17108,5407.3525390625
2022-08-11,7800,7800,7795,7800,30576,5535.0849609375
2022-08-12,7800,7800,7800,7800,17476,5535.0849609375
2022-08-15,7800,7800,7800,7800,0,5535.0849609375
2022-08-16,7800,7800,7800,7800,0,5535.0849609375
2022-08-17,7600,7690,7600,7600,32003,5393.15966796875
